source_column,target_table,target_column,extra_kwargs
ref.,bibliographic_reference,citation_text,{}
year,bibliographic_reference,year,"{""link_via_citation_col"": ""ref.""}"
country,concrete_mix,region_country,{}
cement (kg/m3),mix_component,CEM I,"{""class_code"": ""CEMENT"", ""subtype_code"": ""CEM I"", ""is_cementitious"": true}"
eff_water (kg/m3),mix_component,Water,"{""class_code"": ""WATER"", ""subtype_code"": ""WATER""}"
NCA (kg/m3),mix_component,NCA,"{""class_code"": ""AGGR_C"", ""subtype_code"": ""NCA""}"
RCA (kg/m3),mix_component,RCA,"{""class_code"": ""AGGR_C"", ""subtype_code"": ""RCA""}"
"NFA,sand (kg/m3)",mix_component,NFA,"{""class_code"": ""AGGR_F"", ""subtype_code"": ""NFA""}"
fly ash (kg/m3),mix_component,Fly Ash,"{""class_code"": ""SCM"", ""subtype_code"": ""Fly Ash"", ""is_cementitious"": true}"
silica fume (kg/m3),mix_component,Silica Fume,"{""class_code"": ""SCM"", ""subtype_code"": ""Silica Fume"", ""is_cementitious"": true}"
BFS (kg/m3),mix_component,GGBS,"{""class_code"": ""SCM"", ""subtype_code"": ""BFS"", ""is_cementitious"": true}"
SP (kg/m3),mix_component,Superplasticizer,"{""class_code"": ""ADM"", ""subtype_code"": ""PCE""}"
CS fck (mpa),performance_result,compressive_strength,"{""category"": ""hardened"", ""test_method_id"": 1, ""unit_id"": 6, ""age_column"": ""Testing Age (day)""}"
Mix Number,,,
Testing Age (day),,,
mix_mark,concrete_mix,notes,"{""prefix"":""Mix mark: ""}"
